id_pedido,data_pedido,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_bruta,desconto,receita_liquida
1,2025-11-19,Cliente_99,Notebook,Acessórios,Sudeste,3,1172.91,3518.73,0.22,2744.61
2,2025-04-17,Cliente_5,Monitor,Acessórios,Sudeste,3,2144.38,6433.14,0.12,5661.16
3,2025-04-24,Cliente_43,Monitor,Periféricos,Norte,2,2430.61,4861.22,0.12,4277.87
4,2025-08-13,Cliente_18,Teclado,Eletrônicos,Sul,4,3658.8,14635.2,0.07,13610.74
5,2025-04-07,Cliente_90,Teclado,Periféricos,Nordeste,2,2989.82,5979.64,0.05,5680.66
6,2025-01-03,Cliente_56,Mouse,Eletrônicos,Sudeste,3,464.45,1393.35,0.16,1170.41
7,2025-06-26,Cliente_9,Notebook,Periféricos,Centro-Oeste,4,2485.82,9943.28,0.18,8153.49
8,2025-06-30,Cliente_14,Notebook,Acessórios,Centro-Oeste,2,2115.19,4230.38,0.11,3765.04
9,2025-10-18,Cliente_17,Notebook,Eletrônicos,Sul,1,1503.88,1503.88,0.23,1157.99
10,2025-11-22,Cliente_74,Notebook,Acessórios,Centro-Oeste,3,2196.82,6590.46,0.05,6260.94
11,2025-10-06,Cliente_5,Monitor,Acessórios,Centro-Oeste,1,2157.86,2157.86,0.27,1575.24
12,2025-09-11,Cliente_62,Teclado,Acessórios,Norte,1,3482.35,3482.35,0.15,2960.0
13,2025-06-04,Cliente_73,Mouse,Periféricos,Norte,3,622.31,1866.93,0.15,1586.89
14,2025-12-26,Cliente_99,Teclado,Eletrônicos,Centro-Oeste,4,4338.23,17352.92,0.03,16832.33
15,2025-07-06,Cliente_88,Cadeira Gamer,Periféricos,Centro-Oeste,2,4928.52,9857.04,0.13,8575.62
16,2025-11-09,Cliente_63,Headset,Periféricos,Norte,3,647.11,1941.33,0.24,1475.41
17,2025-02-21,Cliente_48,Headset,Periféricos,Centro-Oeste,2,2748.09,5496.18,0.0,5496.18
18,2025-12-09,Cliente_93,Headset,Eletrônicos,Sul,4,3422.44,13689.76,0.08,12594.58
19,2025-04-14,Cliente_22,Notebook,Acessórios,Nordeste,4,3363.1,13452.4,0.25,10089.3
20,2025-09-01,Cliente_51,Teclado,Acessórios,Norte,3,3389.71,10169.13,0.05,9660.67
21,2025-01-15,Cliente_50,Notebook,Periféricos,Centro-Oeste,2,3830.23,7660.46,0.05,7277.44
22,2025-01-28,Cliente_25,Headset,Acessórios,Sudeste,2,1100.88,2201.76,0.27,1607.28
23,2025-12-22,Cliente_2,Headset,Eletrônicos,Nordeste,2,4599.33,9198.66,0.0,9198.66
24,2025-01-17,Cliente_69,Teclado,Eletrônicos,Centro-Oeste,2,1583.92,3167.84,0.05,3009.45
25,2025-09-29,Cliente_82,Headset,Periféricos,Sudeste,2,3830.99,7661.98,0.1,6895.78
26,2025-09-14,Cliente_70,Teclado,Acessórios,Sul,2,4553.36,9106.72,0.12,8013.91
27,2025-12-16,Cliente_69,Monitor,Eletrônicos,Sul,2,3571.39,7142.78,0.01,7071.35
28,2025-11-20,Cliente_6,Monitor,Acessórios,Centro-Oeste,4,2021.02,8084.08,0.17,6709.79
29,2025-05-22,Cliente_25,Notebook,Eletrônicos,Centro-Oeste,4,3208.21,12832.84,0.18,10522.93
30,2025-04-30,Cliente_88,Notebook,Acessórios,Nordeste,2,4381.5,8763.0,0.12,7711.44
31,2025-09-08,Cliente_1,Teclado,Acessórios,Centro-Oeste,2,1750.11,3500.22,0.01,3465.22
32,2025-07-26,Cliente_66,Notebook,Periféricos,Sudeste,3,574.25,1722.75,0.27,1257.61
33,2025-03-18,Cliente_11,Teclado,Periféricos,Sudeste,3,4240.21,12720.63,0.25,9540.47
34,2025-05-16,Cliente_49,Monitor,Eletrônicos,Norte,4,1954.95,7819.8,0.24,5943.05
35,2025-06-19,Cliente_4,Notebook,Periféricos,Centro-Oeste,4,896.86,3587.44,0.02,3515.69
